l_num_reflectors,l_reflector_angle,l_reflector_depth,l_start_offset,l_finish_offset,r_num_reflectors,r_reflector_angle,r_reflector_depth,r_start_offset,r_finish_offset,avg_angle,angle_diff,total_depth,avg_depth,num_total,num_diff,spacing_asym,DrumDeadT30,DrumLiveT30,DrumDiffusion,VocalT30,VocalDiffusion,experiment
6,56.72,24.26,13.37,55.6,10,51.59,21.53,48.21,83.31,54.155,5.1299999999999955,45.790000000000006,22.895000000000003,16,4,62.550000000000004,167.84141265729858,,0.38100534148697746,221.63472763097153,0.4510972458469449,luminous_wizard-results
4,59.93,11.97,26.74,94.11,4,25.01,42.35,92.82,99.33,42.47,34.92,54.32,27.16,8,0,71.3,172.393240778831,,0.4044416352740793,217.05685542215366,0.4604871308924191,nimble_lynx-results
6,49.83,41.17,52.82,89.04,3,64.47,45.6,86.93,56.7,57.15,14.64,86.77000000000001,43.385000000000005,9,3,66.45000000000002,163.87870602250769,,0.4093659744385064,218.83925909611065,0.45231082353106977,shadowy_panther-results
5,63.66,17.96,50.97,34.72,7,10.4,12.84,94.47,91.9,37.03,53.26,30.8,15.4,12,2,100.68,174.38962555780944,,0.3929062975571427,225.04794088440653,0.4562535458620257,fiery_owl-results
9,36.64,43.41,47.16,70.59,3,27.65,14.69,74.81,19.71,32.144999999999996,8.990000000000002,58.099999999999994,29.049999999999997,12,6,78.53,177.66565867551242,,0.420033323652202,236.90600553687116,0.4512719478702298,zealous_queen-results
8,55.84,12.08,44.28,82.99,9,17.26,18.43,50.6,88.09,36.550000000000004,38.58,30.509999999999998,15.254999999999999,17,1,11.420000000000009,201.97347351779993,,0.39699139980243014,238.33940854342313,0.47061977348129613,serene_lion-results
5,45.4,44.57,46.18,11.53,8,18.7,11.73,12.43,94.87,32.05,26.7,56.3,28.15,13,3,117.09,174.11405261410584,,0.4121350038578101,233.15699357209374,0.4555801493898004,zesty_shark-results
3,29.46,34.89,96.66,79.41,4,69.02,40.05,66.83,80.29,49.239999999999995,39.559999999999995,74.94,37.47,7,1,30.710000000000008,174.10937004211735,,0.415432487119453,225.03973452018533,0.4510139023216929,nimble_kiwi-results
3,40.52,21.12,17.43,70.27,6,48.68,41.81,38.99,46.02,44.6,8.159999999999997,62.93000000000001,31.465000000000003,9,3,45.809999999999995,161.59979407510207,,0.4050602988204337,209.30546068053752,0.44664629537969286,zesty_eagle-results
8,37.39,44.29,17.8,79.64,3,25.51,40.04,47.45,68.83,31.450000000000003,11.879999999999999,84.33,42.165,11,5,40.46000000000001,190.52004756604464,,0.42189491486737596,245.65450566330748,0.4596299894671013,glorious_whale-results
7,23.72,19.38,68.39,61.24,3,26.77,15.76,48.15,30.9,25.244999999999997,3.0500000000000007,35.14,17.57,10,4,50.580000000000005,178.8783406927141,,0.41402426036619533,234.44344030150106,0.4530682082294176,swift_hedgehog-results
7,28.88,38.3,23.59,84.74,10,22.42,37.18,99.03,52.64,25.65,6.459999999999997,75.47999999999999,37.739999999999995,17,3,107.53999999999999,260.65623764685694,,0.4089032123950521,255.4822465859639,0.4665408085627557,quick_eagle-results
4,25.66,22.82,48.09,89.15,10,35.4,26.77,98.98,35.7,30.53,9.739999999999998,49.59,24.795,14,6,104.34,248.74151348787706,,0.40679488290473176,245.05193016875094,0.46959072027462034,brazen_bear-results
5,53.8,14.33,96.32,31.63,5,52.26,49.6,36.39,56.55,53.03,1.5399999999999991,63.93,31.965,10,0,84.85,163.87767180515735,,0.3989096826120949,215.51628747696128,0.4572760228388808,mellow_bison-results
7,16.95,32.42,28.29,65.5,5,52.14,27.03,15.24,80.04,34.545,35.19,59.45,29.725,12,2,27.590000000000003,180.80010834234668,,0.41990841810877955,237.47639620007172,0.43958787242620656,brisk_gazelle-results
10,34.37,20.49,66.17,37.66,8,62.41,13.94,82.98,55.79,48.39,28.04,34.43,17.215,18,2,34.940000000000005,192.36514453319262,,0.412873835993007,239.2971966855768,0.45520380592994286,purple_falcon-results
9,11.69,35.72,48.66,42.22,7,54.93,14.02,46.5,88.45,33.31,43.24,49.739999999999995,24.869999999999997,16,2,48.39,199.086775728695,,0.4172040528934669,251.1420413864281,0.4432212638195658,cool_queen-results
10,22.54,23.64,21.1,17.76,7,56.63,35.55,17.65,59.92,39.585,34.09,59.19,29.595,17,3,45.61,172.6585333440065,,0.3997763822381204,227.51973457289728,0.45290840339988786,brisk_kiwi-results
4,47.01,47.6,70.88,30.44,7,15.17,27.01,77.85,11.81,31.09,31.839999999999996,74.61,37.305,11,3,25.6,184.2485595639144,,0.39727304491839144,233.75055837079535,0.4573958509613656,shadowy_lynx-results
5,13.43,22.85,82.06,43.5,3,47.93,12.34,10.8,44.21,30.68,34.5,35.19,17.595,8,2,71.97,169.2163239631648,,0.41292678166153274,233.9412711696305,0.4356508597808471,elegant_owl-results
8,64.67,33.63,42.57,49.55,3,22.74,13.42,49.49,56.49,43.705,41.93000000000001,47.050000000000004,23.525000000000002,11,5,13.860000000000007,162.6518766873385,,0.40045156985172825,218.5002515096437,0.4580329471608763,silent_bison-results
9,43.01,22.69,50.62,93.99,5,21.94,33.82,48.9,84.87,32.475,21.069999999999997,56.510000000000005,28.255000000000003,14,4,10.83999999999999,194.19587101704766,,0.4013368111980879,244.34932580118237,0.46134499700638754,gentle_queen-results
5,50.32,29.51,61.27,36.79,4,41.21,28.71,81.67,68.56,45.765,9.11,58.22,29.11,9,1,52.17,174.98528919594952,,0.4083546025554234,226.60911984013234,0.4511304231978927,glorious_gazelle-results
8,49.62,17.06,67.71,70.55,9,68.73,43.41,96.35,45.21,59.175,19.110000000000007,60.47,30.235,17,1,53.98,178.98198900466153,,0.40593485714125144,226.14278037687396,0.4650985350027149,cosmic_wolf-results
4,10.12,45.59,29.05,52.83,4,64.0,18.03,65.08,41.69,37.06,53.88,63.620000000000005,31.810000000000002,8,0,47.17,186.93732723836825,,0.4213483640733187,242.81661594968455,0.4412484493387015,lucky_cobra-results
3,60.44,12.3,28.45,21.28,3,54.85,43.39,36.85,14.81,57.644999999999996,5.589999999999996,55.69,27.845,6,0,14.870000000000003,155.04443745871407,,0.3841593613156304,204.17548777624538,0.4450195193623391,stormy_lion-results
9,29.45,45.32,53.62,71.19,10,61.91,43.92,20.78,60.37,45.68,32.459999999999994,89.24000000000001,44.620000000000005,19,1,43.66,172.71987660997914,,0.4118829952481966,228.77796854305768,0.47312518264914616,frosty_owl-results
4,23.48,14.98,66.89,21.32,7,29.53,45.47,35.5,57.73,26.505000000000003,6.050000000000001,60.45,30.225,11,3,67.8,174.61215719999416,,0.39822942555177426,218.88374408989165,0.4637560646234662,brisk_jaguar-results
9,56.4,25.71,72.34,73.88,8,45.64,30.43,66.71,73.42,51.019999999999996,10.759999999999998,56.14,28.07,17,1,6.090000000000003,182.5235142702241,,0.4046244332739294,236.8289834252928,0.4613117766859023,brisk_lynx-results
3,69.08,21.7,72.79,27.16,5,26.06,27.51,95.42,88.69,47.57,43.019999999999996,49.21,24.605,8,2,84.16,167.40586136827363,,0.40282887719144356,216.9791182007388,0.4519880274789846,cool_cheetah-results
6,11.49,14.53,19.84,61.88,4,32.87,19.03,14.95,64.64,22.18,21.379999999999995,33.56,16.78,10,2,7.649999999999999,186.63447791867588,,0.430307804159033,242.65261469998933,0.44816731739440246,bright_dolphin-results
9,23.9,28.76,95.96,84.72,5,50.68,13.49,87.99,25.1,37.29,26.78,42.25,21.125,14,4,67.59,193.01046627942995,,0.4263012792503725,241.19680747827528,0.4529838558213909,shadowy_jellyfish-results
10,36.54,31.55,42.61,57.69,3,40.73,37.32,64.67,37.08,38.635,4.189999999999998,68.87,34.435,13,7,42.67,188.0041846401074,,0.4127039685002576,238.04225960171476,0.45014151529425095,stormy_fox-results
6,10.52,33.8,67.59,57.95,6,11.55,10.53,63.52,47.76,11.035,1.0300000000000011,44.33,22.165,12,0,14.260000000000005,400.23061806510026,,0.37711739993508353,281.4341868666501,0.43967362874969407,brave_fox-results
10,60.27,49.42,67.33,28.67,7,22.76,38.54,45.2,32.13,41.515,37.510000000000005,87.96000000000001,43.980000000000004,17,3,25.589999999999996,183.47958367239934,,0.39879465827008775,228.87615110686934,0.4736420795228297,zesty_monarch-results
4,30.12,25.63,45.89,78.17,10,23.0,47.96,64.0,23.08,26.560000000000002,7.120000000000001,73.59,36.795,14,6,73.2,214.62565613555353,,0.4083525859627365,240.7683632382597,0.4772893160499879,purple_shark-results
7,15.4,42.93,97.43,58.34,10,30.4,28.39,56.96,41.17,22.9,14.999999999999998,71.32,35.66,17,3,57.64000000000001,353.6980622417316,,0.40033578982769474,267.4863648599975,0.4468526366886839,fierce_owl-results
6,58.12,41.73,61.74,38.51,9,14.84,36.29,13.6,20.41,36.48,43.28,78.02,39.01,15,3,66.24,171.76033363583454,,0.39882131689352185,218.70522425059454,0.4543182736697562,mellow_fox-results
6,69.66,28.74,56.09,87.9,4,16.19,18.59,77.56,99.06,42.925,53.47,47.33,23.665,10,2,32.629999999999995,177.87464736397138,,0.404559836254852,226.53205584997002,0.45788996722788616,bold_bison-results
6,46.62,38.94,94.03,52.03,6,64.72,16.13,93.91,29.47,55.67,18.1,55.06999999999999,27.534999999999997,12,0,22.680000000000007,169.89300496831913,,0.40583005002302514,225.90361187836578,0.453482978227025,purple_cheetah-results
9,43.63,29.84,59.52,47.35,8,34.44,22.66,27.91,76.95,39.035,9.190000000000005,52.5,26.25,17,1,61.21000000000001,193.25367258440153,,0.4142260053770428,243.76257272658677,0.4579169885959831,purple_eagle-results
5,52.5,44.79,26.57,89.6,5,68.83,16.2,62.38,83.36,60.665,16.33,60.989999999999995,30.494999999999997,10,0,42.05,158.40609772384357,,0.3945446219492731,218.8300040983966,0.4517912360017155,swift_badger-results
4,30.76,24.89,15.37,14.26,3,44.13,49.66,68.85,66.74,37.445,13.370000000000001,74.55,37.275,7,1,105.96,167.76824966716444,,0.3968248747488445,216.95847868100776,0.4493172351495148,daring_cougar-results
9,64.2,36.76,52.01,64.51,10,35.84,17.43,31.52,90.97,50.02,28.36,54.19,27.095,19,1,46.94999999999999,185.85672793336263,,0.411176660943138,233.8806746757443,0.456503321537073,brazen_falcon-results
5,65.45,31.54,95.89,48.69,8,22.6,39.15,88.91,42.29,44.025000000000006,42.85,70.69,35.345,13,3,13.380000000000003,174.14202136220555,,0.3897590954832017,217.60070830420818,0.4603303110891402,serene_queen-results
8,64.49,30.9,51.31,64.02,6,19.6,13.94,74.53,74.7,42.045,44.88999999999999,44.839999999999996,22.419999999999998,14,2,33.900000000000006,182.44692392018365,,0.40756926232133317,227.4556783114159,0.458758455287651,swift_heron-results
9,21.82,49.52,65.69,41.83,6,62.67,34.4,49.89,22.23,42.245000000000005,40.85,83.92,41.96,15,3,35.39999999999999,168.59949150782944,,0.4212071122789155,227.1943140548968,0.4392894701031082,ancient_heron-results
8,30.65,48.54,81.33,21.92,9,22.68,35.07,92.55,33.7,26.665,7.969999999999999,83.61,41.805,17,1,23.0,295.6745398997115,,0.4075524030300953,260.3245232614623,0.4638990319312049,luminous_dragon-results
